Date,Open,High,Low,Close,Volume
2019-01-02,36.896080457482114,37.839386848487095,36.73886211985297,37.61785125732422,148158800
2019-01-03,34.297221690076654,34.71170533997153,33.825570388313054,33.87083053588867,365248800
2019-01-04,34.42823392525828,35.385831992384595,34.25434294148728,35.316749572753906,234428400
2019-01-07,35.42157295630101,35.45254119796696,34.754588999265515,35.23815155029297,219111200
2019-01-08,35.62642842655381,36.16478144522651,35.37869342403088,35.90989685058594,164101200
2019-01-09,36.038532565619036,36.81032877594301,35.64310954502001,36.51971435546875,180396400
2019-01-10,36.32676495224882,36.67693143634063,35.93610349421872,36.636436462402344,143122800
2019-01-11,36.417282860183526,36.61261175890216,36.09093504627831,36.276737213134766,108092800
2019-01-14,35.933729304504425,36.03377637046816,35.54544854975383,35.73125076293945,129756800
2019-01-15,35.795555825764026,36.53876442507238,35.74314971840054,36.46253967285156,114843600
2019-01-16,36.46491444175896,37.13189817900568,36.44585734814974,36.907981872558594,122278800
2019-01-17,36.73171723000517,37.5559195046028,36.50780085804286,37.12714385986328,119284800
2019-01-18,37.51780339953194,37.60832370736827,37.15572580295646,37.3558235168457,135004000
2019-01-22,37.25815806827708,37.33438282804455,36.35534664867075,36.517330169677734,121576000
2019-01-23,36.71980687861818,36.95563439699075,36.13619728825342,36.66501998901367,92522400
2019-01-24,36.71027561625234,36.798411510579946,36.145723195146964,36.3744010925293,101766000
2019-01-25,37.03663528384917,37.667889627042726,36.76031634502855,37.579750061035156,134142000
2019-01-28,37.110460323189784,37.239094808998516,36.60307924072225,37.23194885253906,104768400
2019-01-29,37.22004666542963,37.66787943003454,36.710281051690714,36.8460578918457,166348800
2019-01-30,38.88749797549803,39.5783004672499,38.16810802124798,39.363914489746094,244439200
2019-01-31,39.56878309333675,40.257204973829765,39.199559480528016,39.64739227294922,162958400
2019-02-01,39.77125126861664,40.25242931959905,39.52589342559066,39.666439056396484,130672400
2019-02-04,39.87845193930174,40.89083720323202,39.847483697513894,40.79317092895508,125982000
2019-02-05,41.17668253733617,41.705505198302404,41.05519762567575,41.49111557006836,144406400
2019-02-06,41.603071866567944,41.82222666811307,41.17429989905097,41.505409240722656,112958400
2019-02-07,41.06711193744201,41.43395477698931,40.576403391475225,40.719329833984375,126966800
2019-02-08,40.42746770020232,40.826981250352276,40.29110488619162,40.767173767089844,95280000
2019-02-11,40.920285117420185,40.95856278685329,40.48967046219642,40.53273010253906,83973600
